Movie Name,Release Date,Rating,Director,Link
Double Indemnity,1944,8.2,"Francis Ford Coppola (as Francis Coppola), Francis Ford Coppola",https://www.imdb.com/title/tt0078788/?ref_=adv_li_tt
Jodaeiye Nader az Simin,2011,8.2,"Francis Ford Coppola (as Francis Coppola), Francis Ford Coppola",https://www.imdb.com/title/tt0078788/?ref_=adv_li_tt
To Kill a Mockingbird,1962,8.2,Charles Chaplin,https://www.imdb.com/title/tt0032553/?ref_=adv_li_tt
Indiana Jones and the Last Crusade,1989,8.2,Charles Chaplin,https://www.imdb.com/title/tt0032553/?ref_=adv_li_tt
The Apartment,1960,8.2,Florian Henckel von Donnersmarck,https://www.imdb.com/title/tt0405094/?ref_=adv_li_tt
Capharnaüm,2018,8.2,Florian Henckel von Donnersmarck,https://www.imdb.com/title/tt0405094/?ref_=adv_li_tt
Up,2009,8.2,Quentin Tarantino,https://www.imdb.com/title/tt1853728/?ref_=adv_li_tt
L.A. Confidential,1997,8.2,Quentin Tarantino,https://www.imdb.com/title/tt1853728/?ref_=adv_li_tt
Monty Python and the Holy Grail,1975,8.2,"Anthony Russo, Joe Russo",https://www.imdb.com/title/tt4154756/?ref_=adv_li_tt
Incendies,2010,8.2,"Anthony Russo, Joe Russo",https://www.imdb.com/title/tt4154756/?ref_=adv_li_tt
Heat,1995,8.2,"Bob Persichetti, Peter Ramsey |
1 more credit »
",https://www.imdb.com/title/tt4633694/?ref_=adv_li_tt
Rashômon,1950,8.2,"Bob Persichetti, Peter Ramsey |
1 more credit »
",https://www.imdb.com/title/tt4633694/?ref_=adv_li_tt
Yôjinbô,1961,8.2,Stanley Kubrick,https://www.imdb.com/title/tt0081505/?ref_=adv_li_tt
Batman Begins,2005,8.2,Stanley Kubrick,https://www.imdb.com/title/tt0081505/?ref_=adv_li_tt
Die Hard,1988,8.2,Stanley Kubrick,https://www.imdb.com/title/tt0050825/?ref_=adv_li_tt
Unforgiven,1992,8.2,Stanley Kubrick,https://www.imdb.com/title/tt0050825/?ref_=adv_li_tt
Green Book,2018,8.2,Bong Joon Ho (as Joon-ho Bong),https://www.imdb.com/title/tt6751668/?ref_=adv_li_tt
Der Untergang,2004,8.2,Bong Joon Ho (as Joon-ho Bong),https://www.imdb.com/title/tt6751668/?ref_=adv_li_tt
Bacheha-Ye aseman,1997,8.2,Andrew Stanton,https://www.imdb.com/title/tt0910970/?ref_=adv_li_tt
Some Like It Hot,1959,8.2,Andrew Stanton,https://www.imdb.com/title/tt0910970/?ref_=adv_li_tt
